Rk,Team ID,Team,Year,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Restricted Area FGM, Restricted Area FGA,Restricted Area FG%,In the Paint (Non-RA) FGM,In the Paint (Non-RA) FGA,In the Paint (Non-RA) FG%,Mid-Range FGM,Mid-Range FGA,Mid-Range FG%,Left Corner 3 FGM,Left Corner 3 FGA,Left Corner 3 FG%,Right Corner 3 FGM,Right Corner 3 FGA,Right Corner 3 FG%,Above the Break 3 FGM,Above the Break 3 FGA,Above the Break 3 FG%,Backcourt FGA,Backcourt FGA,Backcourt FG%,1-4ft FGM,1-4ft FGA,1-4ft FG%,5-9ft FGM,5-9ft FGA,5-9ft FG%,10-14ft FGM,10-14ft FGA,10-14ft FG%,15-19ft FGM,15-19ft FGA,15-19ft FG%,20-24ft FGM,20-24ft FGA,20-24ft FG%,25-29ft FGM,25-29ft FGA,25-29ft FG%,30-34ft FGM,30-34ft FGA,30-34ft FG%,35-39ft FGM,35-39ft FGA,35-39ft FG%,41ft FGM,41ft FGA,41ft FG%
11,1610612745,Houston Rockets*,16,41,41,42,40,0.2,0.14,0.34,108.3,108.1,0.2,97.6,0.352,0.37,0.553,0.516,14.2,25.7,0.244,18.5,30.1,0.612,4.4,11.5,0.384,4.2,11,0.379,1.6,4.3,0.381,1.8,5.4,0.337,7.2,20.8,0.347,0,0.3,0,19.3,32.6,0.591,3,7.9,0.386,1.8,4.3,0.423,2.4,6.2,0.39,7.6,21.2,0.358,3.6,10.8,0.332,0,0.1,0.2,0,0.1,0,0,0.3,0
12,1610612754,Indiana Pacers*,16,45,37,46,36,1.71,-0.09,1.62,104.6,102.9,1.7,96.6,0.268,0.27,0.536,0.497,13.5,23.4,0.205,15.8,25.5,0.619,4.6,10.8,0.427,9.8,25.8,0.38,1.5,3.8,0.381,1.1,2.8,0.413,5.4,16.1,0.335,0,0.2,0,16.7,27.4,0.608,2.9,7,0.416,3,7.2,0.409,6.1,16.1,0.38,5.9,16.4,0.36,3.7,10.6,0.348,0,0.3,0.154,0,0.1,0.333,0,0.2,0
13,1610612746,Los Angeles Clippers*,16,53,29,53,29,4.28,-0.15,4.13,108.3,103.8,4.5,95.8,0.318,0.324,0.556,0.524,12.1,20.1,0.22,15,22.9,0.652,3.9,9.5,0.412,9.7,23.3,0.418,1.4,3.4,0.404,1.3,3,0.435,6.9,19.7,0.349,0,0.2,0,15.7,24.9,0.633,2.2,5.5,0.401,2.3,5.5,0.417,6.3,14.8,0.424,7.1,17.9,0.394,4.5,12.9,0.35,0.1,0.4,0.2,0,0.2,0,0,0.2,0.053
14,1610612747,Los Angeles Lakers,16,17,65,17,65,-9.56,0.64,-8.92,101.6,111.6,-10,95.6,0.292,0.29,0.509,0.46,12.5,23.1,0.228,13.7,24.4,0.563,5.3,13.3,0.403,8.3,22.6,0.365,0.9,2.7,0.324,0.7,2.2,0.32,6.2,19.3,0.319,0,0.3,0,14.6,26.6,0.551,3.7,8.8,0.418,3,8,0.372,5,13.5,0.367,5.3,16.2,0.328,3.4,11,0.312,0,0.2,0,0,0.1,0,0,0.4,0.071
15,1610612763,Memphis Grizzlies*,16,42,40,35,47,-2.24,0.11,-2.14,105.4,107.8,-2.4,93.3,0.295,0.222,0.524,0.477,12.3,25.3,0.231,16.4,29.1,0.564,5.6,14.6,0.383,8.7,21.4,0.406,0.9,2.7,0.344,0.7,2.5,0.297,4.4,13.1,0.339,0,0.3,0.136,17.5,31.9,0.547,4,10.1,0.394,2.8,7,0.398,4.8,12.1,0.399,5.5,15.1,0.363,2.3,7,0.322,0,0.2,0,0,0.1,0,0,0.3,0.12
16,1610612748,Miami Heat*,16,48,34,46,36,1.65,-0.14,1.5,106.1,104.4,1.7,93.6,0.282,0.221,0.545,0.508,13.3,23.8,0.21,17.7,27.1,0.653,5.5,13.9,0.398,9.1,22.6,0.403,1.1,3.4,0.319,1.4,3.5,0.394,3.6,10.9,0.327,0,0.2,0.067,18.4,29.1,0.633,3.7,9.2,0.406,3.2,7.9,0.406,5.8,14.5,0.401,5.7,15.4,0.371,1.5,5.1,0.288,0,0.1,0.25,0,0.2,0,0,0.3,0.045
17,1610612749,Milwaukee Bucks,16,33,49,29,53,-4.18,0.2,-3.98,104.3,108.7,-4.4,94.2,0.276,0.189,0.537,0.499,14.2,24.9,0.207,19.8,33,0.601,5.5,13.5,0.405,7.7,20.2,0.382,0.8,2.4,0.352,0.8,2.2,0.353,3.7,10.6,0.348,0,0.2,0,21,35.9,0.584,3.8,9.7,0.392,2.9,6.8,0.418,4.3,11.6,0.374,3.8,10.5,0.364,2.5,7.2,0.347,0,0.1,0,0,0.1,0.5,0,0.2,0
18,1610612750,Minnesota Timberwolves,16,29,53,31,51,-3.54,0.15,-3.38,106.5,110.1,-3.6,95.2,0.332,0.202,0.549,0.498,13.9,24.3,0.263,17,26.8,0.637,5,11.8,0.425,10.1,26.3,0.385,0.8,2.1,0.383,0.5,1.4,0.382,4.2,12.8,0.328,0,0.1,0,17.8,28.6,0.62,3.6,8.6,0.419,2.4,6.2,0.38,5.9,15.2,0.386,6,15.4,0.389,2.2,7,0.308,0,0.2,0.125,0,0.1,0,0,0.1,0
19,1610612740,New Orleans Pelicans,16,30,52,31,51,-3.79,0.24,-3.56,105.6,109.5,-3.9,96.8,0.259,0.277,0.537,0.498,12.3,21.2,0.201,16.4,28.3,0.578,4.3,11.5,0.378,9.2,22.3,0.412,1,2.9,0.338,0.9,2.8,0.323,6.7,18,0.371,0,0.2,0.083,17.1,30.1,0.566,3.2,8.3,0.388,2.6,6.8,0.38,5.3,12.6,0.418,6.2,16.6,0.375,4,11,0.367,0,0.2,0.222,0,0.1,0,0,0.2,0.063
20,1610612752,New York Knicks,16,32,50,33,49,-2.73,0,-2.74,104.6,107.6,-3,93.4,0.255,0.256,0.527,0.483,12.6,23.7,0.205,13.1,23,0.572,4.7,11.7,0.404,11.5,27.8,0.415,1.2,2.9,0.432,0.9,2.3,0.378,5.3,16.2,0.33,0,0.2,0,14,25.2,0.556,3.6,8.3,0.428,3.7,9.3,0.395,6.5,15.1,0.428,6.1,16.3,0.372,3,9.4,0.325,0.1,0.2,0.333,0,0.1,0,0,0.2,0
